parisian_thief,factchecking fakenews
quebryant,youaintblack
DragonFlyGlitta,censored
America31846547,kag2020
WesKnyle,bias discrimination
EJ_Atwood,byebyebirdie
s_lag,littleshopofhorrors
LindaEpai457450,factcheck
LivePDFanGrl5,twitter china
veganvecoh,factcheck fisa spygate obamagate
mrnesi,lidcsu20
DJTStableGenius,factchecktrumplies trumplies trumpgate
ArleySpillane,factcheck fisa spygate obamagate
set_course,ragefag
WWRRDNOW,youaintblack
SummerCampEast,13casesfrom2000to2010
Mike4LibertyFL,youaintblack
ThanosIsForever,executiveorder
VLittel,twitter
4katzBeth,liberalismistherealpandemic
raCCOT2016,factcheck fisa spygate obamagate
jewel_patriot,youaintblack
gramminy,youaintblack
Djach,blockalltwitterads taketrumpofftwitter
NTYessays,executiveorder
LadyElizabeth61,trump2020landslide
Patriotism_Q,pizzagateisreal itstimetowakeup qanon
Joseph77305047,soon seethroughyou
NYCTheMiC,youaintblack
AnyaQ8,firstamendment
